SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
O=C([*])C(C)O[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,150.8,10.3390_polym13132167_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,,164.2,10.1007_s10853-012-6267-8_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],,,,,165,10.1007_s10924-010-0230-z_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,,,,,138.9,10.1016_j.ijbiomac.2017.11.015_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,164.3,10.1515_polyeng-2021-0216_OA_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(F)(C(F)([*])F)F,O=[Si]=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,O=[Al]O[Al]=O,221,10.1177_0021998314545183_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],,,,,161.7,10.1016_j.compositesb.2017.11.048_part_3.txt_∂Œ1_Material1
[*]CCCC(CCCCCC)[*],,,,,52.8,10.1002_app.38600_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC([*])Cl,120,10.1002_pts.2551_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],O=C([O-])[O-].[Ca+2],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,165,10.1177_096739111502300101_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,[H][Si]([H])([H])[H],,,190,10.1016_j.polymertesting.2016.12.026_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C)C[*],[*]CC[*],[*]CC[*],160,10.3390_polym13091369_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,[*]OCC[*],150,10.1007_s10924-021-02207-1_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[Mg]=O,O=[Al]O[Al]=O,O=[Si]=O,200,10.1002_app.51469_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]C/C=C\CCC(C=C)[*],,,,170,10.1002_app.39395_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[Zn]=O,,,168,10.4028_www.scientific.net_amr.287-290.1980_part_1.txt_∂Œ1_Material1
[*]CC[*],OP(O)(O)=O,,,,131,10.4028_www.scientific.net_amr.747.555_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,151,10.1179_174328910x12691245470031_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,61,10.1021_acsomega.9b02217_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(C)C[*],[H][Si]([H])([H])[H],,160,10.1080_15440478.2020.1848723_part_5.txt_∂Œ1_Material1
[*]CC[*],,,,,170,10.1002_pc.23352_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,165,10.1016_j.compositesb.2017.10.034_part_1.txt_∂Œ1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,,140,10.1007_s00289-017-2088-x_part_5.txt_∂Œ1_Material1
[*]C(C)C[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,,160,10.1515_polyeng-2021-0216_OA_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,252,10.1002_pi.6079_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[H][Si]([H])([H])[H],,,165,10.1002_pc.24004_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,163,10.3390_polym13050680_part_1.txt_∂Œ1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,80,10.1016_j.carbpol.2018.11.094_part_4.txt_∂Œ1_Material1
[*]C(C)C[*],[Al],,,,210,10.1007_s10853-018-3049-y_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]O[C@@]([H])(C)C(O[C@](C)([H])C([*])=O)=O,C/C(C[*])=C/C[*],,,211.8,10.1002_pi.5916_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C/C=C/CCC([*])C#N,CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,166.72,10.1002_vnl.21612_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([O-])[O-].[Ca+2],O1C(=O)C=CC1=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,162.9,10.1007_s10973-014-3824-1_part_1.txt_∂Œ1_Material1
[*]C/C=C\CCC(C=C)[*],[H][O-],,,,145,10.1002_app.49374_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],,,,,187.7,10.1002_pc.25894_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,166,10.1002_pc.24701_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,,,,,160,10.1177_0307174x1404101109_part_1.txt_∂Œ1_Material1
[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=[Si]=O,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,125,10.3390_polym11071115_part_1.txt_∂Œ1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,CC(C)[Si](C(C)C)(OS(=O)(C(F)(F)F)=O)C(C)C,,,,140,10.1016_j.conbuildmat.2018.05.210_part_1.txt_∂Œ1_Material1
[*]CC[*],O=[Ti]=O,CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,126.3,10.1002_vnl.21695_part_1.txt_∂Œ1_Material1
