SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,,1.7323937598229686,10.1002_app.33667_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Ag],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,1.6399842480415885,10.3390_coatings6040041_part_2.txt_¶Î1_Material1
[*]CC([*])Cl,,,,,1,10.1002_app.40938_part_1.txt_¶Î1_Material1
[*]C(C)C[*],,,,,1.1613680022349748,10.1007_s10924-010-0230-z_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,1.561101383649056,10.1002_mame.201500107_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]C(CCCCC(OCCCCO[*])=O)=O,[O-][Si](O[Si]([O-])=O)=O,O=[Si]=O,,0.1702617153949573,10.1016_j.eurpolymj.2018.10.031_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,1.526339277389844,10.1515_polyeng-2021-0216_OA_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(F)(C(F)([*])F)F,O=[Si]=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,O=[Al]O[Al]=O,1.4854374810763014,10.1177_0021998314545183_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,,2.0791812460476247,10.3390_ma13225062_part_4.txt_¶Î1_Material1
[*]C(C)C[*],[H][Si]([H])([H])[H],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O1C(=O)C=CC1=O,,1.7577754910119257,10.1177_0892705711428659_part_3.txt_¶Î1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,,,,,1.414973347970818,10.1016_j.polymertesting.2016.09.022_part_2.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(CCCCCO[*])=O,,,,1.3222192947339193,10.4236_ojpchem.2018.81002_OA_part_1.txt_¶Î1_Material1
[*]CCCC([*])OC(C)=O,C[Si](C)(C[*])O[*],O=C([O-])[O-].[Ca+2],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,0.8195439355418687,10.1002_pc.23595_part_2.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,1.2174839442139065,10.1016_j.carbpol.2018.02.034_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C([H])([H])C(O)([H])[*],,,,1.73559889969818,10.1177_0021998320969793_part_2.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(C(C[*])[*])N,[Na+].[Cl-],,,-0.26760624,10.1016_j.coco.2021.100837_part_1.txt_¶Î1_Material1
O=[Si]=O.[Ca]=O,O=[Si]=O,[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,1.582063362911709,10.1016_j.jclepro.2020.125652_part_3.txt_¶Î1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,1.5843312243675307,10.1177_0021998311413686_part_1.txt_¶Î1_Material1
[*]OCC[*],CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,,,1.0906107078284066,10.1002_app.38486_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,,,,,1.5211380837040362,10.1039_c6py00350h_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,1.6302244107524322,10.1002_app.40757_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,1.4065401804339552,10.1002_pc.22650_part_1.txt_¶Î1_Material1
