SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Young's Modulus (kPa) log10,À´Ô´
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,,6.301029995663981,10.1002_app.33667_part_2.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[Ca+2],[Mg],,,6.301029995663981,10.1007_s10570-019-02417-w_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Ag],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,6.052936217579409,10.3390_coatings6040041_part_2.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],C[N+](CCO)(CCO)[3H],,,,3.645422269349092,10.1002_app.36479_part_2.txt_¶Î1_Material2
[*]C(C)C[*],,,,,6.079181246047625,10.1007_s10924-010-0230-z_part_1.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]CC(C1=CC=CC=C1)C/C=C/C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,O=[Ti]=O,6,10.1002_app.48329_part_2.txt_¶Î1_Material1
[*]C(C)C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,6.260023660694307,10.1002_mame.201500107_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]C(CCCCC(OCCCCO[*])=O)=O,[O-][Si](O[Si]([O-])=O)=O,O=[Si]=O,,2.113943352306837,10.1016_j.eurpolymj.2018.10.031_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,,,6.090540199754235,10.1515_polyeng-2021-0216_OA_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(F)(C(F)([*])F)F,O=[Si]=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,O=[Al]O[Al]=O,5.79546289439038,10.1177_0021998314545183_part_1.txt_¶Î1_Material1
[*]OC(CC(OC(CC([*])=O)CC)=O)C,,,,,5.301029995663981,10.1016_j.polymertesting.2016.09.022_part_2.txt_¶Î1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,C(CC=O)CC=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,4.176091259055681,10.1179_1743284715y.0000000097_part_2.txt_¶Î1_Material1
[*]CC[*],,,,,5.079181246047625,10.1016_j.jscs.2011.12.024_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(CCCCCO[*])=O,,,,5.079181246047625,10.4236_ojpchem.2018.81002_OA_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Zn]=O,O=[Ti]=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,7.322219294733919,10.1016_j.carbpol.2021.118507_part_4.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C([H])([H])C(O)([H])[*],,,,5.575187844927661,10.1016_j.carbon.2017.04.002_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C([H])([H])C(O)([H])[*],,,,6.184691430817598,10.1177_0021998320969793_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,6,10.1002_app.41246_part_1.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,O=C(C(C[*])[*])N,[Na+].[Cl-],,,1.6989700043360187,10.1016_j.coco.2021.100837_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,6.079181246047625,10.1002_app.38764_part_1.txt_¶Î1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,5.444825199509748,10.1177_0021998311413686_part_1.txt_¶Î1_Material1
[*]OCC[*],CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,,,5.395501124305626,10.1002_app.38486_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,6.720572720364261,10.1002_pc.22650_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,5.180756492303559,10.15282_ijame.8.2013.19.0107_OA_part_1.txt_¶Î1_Material1
[*]CC[*],[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC([*])Cl,5.949390006644912,10.1002_pts.2551_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[H][O-],,,,5.8444771757456815,10.4028_www.scientific.net_msf.714.139_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[Zn]=O,[Zn]=O,,,6.174931593528442,10.1016_j.porgcoat.2011.03.004_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,6.057099097526547,10.1002_pc.22342_part_1.txt_¶Î1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,[H][Si]([H])([H])[H],,,6.377563035549853,10.1016_j.polymertesting.2016.12.026_part_1.txt_¶Î1_Material1
